,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",134
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",135
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",136
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",137
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",138
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",139
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",140
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",141
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",142
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",143
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",144
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",145
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",146
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",147
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",148
COLEGIO SEMINARIO  PRIMARIA,"CANELONES  1471 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9080226","-56,1834608",149
